country,country_code,firstname,lastname
,,Ixandra,Achitouv
,,Ana,Achucarro
,,Julian,Adamek
,,Nabila,Aghanim
,,Viola,Allevato
,,Bruno,Altieri
,,Luca,Amendola
,,Jerome,Amiaux
,,Avgoustidis,Anastasios
,,Jeremie,Ansart
,,Alberto,Anselmi
,,Nikolaos,Apostolakos
,,Philip,Appleton
,,Maria,Archidiacono
,,Emmanuel,Artis
,,Marika,Asgari
,,Thomas,Auphan
,,Herve,Aussel
,,Santiago,Avila
,,Carlo,Baccigalupi
,,Andres,Balaguera
,,Marco,Baldi
,,Mario,Ballardini
,,Philippe,Baratta
,,Rhys,Barnett
,,Alexandre,Barreira
,,James,Bartlett
,,Paola,Battaglia
,,Fabio,Bellagamba
,,Karim,Benabed
,,Ralf,Bender
,,Giampaolo,Benevento
,,Chuck,Bennett
,,Christophe,Benoist
,,Francis,Bernardeau
,,Laura,Bisigello
,,Andrea,Biviano
,,Rob,Blake
,,Alain,Blanchard
,,Linda,Blot
,,Hans,Boehringer
,,Andrea,Bonchi
,,Alexandre,Boucaud
,,Rebecca,Bowler
,,Danny,Boxhoorn
,,Enzo,Branchini
,,Malcolm,Bremer
,,Massimo,Brescia
,,Michel Andres,Breton
,,Jarle,Brinchmann
,,Margot,Brouwer
,,Hugo,Buddelmeijer
,,Guillermo,Buenadicha
,,Van Tuan,Bui
,,Joyce,Byun
,,Remi,Cabanac
,,Peter,Capak
,,Carmelita,Carbone
,,Vincenzo Fabrizio,Cardone
,,Raymond,Carlberg
,,Lionel,Carminati
,,Jorge,Carretero
,,Santiago,Casas
,,Francisco Javier,Castander
,,Marco,Castellano
,,Kenneth,Chambers
,,Ranga Ram,Chary
,,Jacopo,Chevallard
,,Ezio,Ciancetta
,,Sebastien,Clesse
,,Sandrine,Codis
,,Judith,Cohen
,,Manuel,Colavincenzo
,,Peter,Coles
,,Giuseppe,Congedo
,,Christopher,Conselice
,,Luca,Conversi
,,Asantha,Cooray
,,Yannick,Copin
,,Oliver,Cordes
,,Jean,Coupon
,,Mark,Cropper
,,Nicholas,Cross
,,Jean Gabriel,Cuby
,,Jean Charles,Cuillandre
,,Antonio,da Silva
,,Christophe,Dabin
,,Helmut,Dannerbauer
,,Iary,Davidzon
,,Andrew,Davies
,,Jelte,de Jong
,,Sylvain,de la Torre
,,Pilar,De Teodoro
,,Ivan,Debono
,,Miguel,Delaire
,,Guillaume,Desprez
,,Anna Maria,Di Giorgio
,,Hugh,Dickinson
,,Christopher,Duncan
,,Xavier,Dupac
