Financial_news_nresults,Google_news_nresults,Google_search_nresults,birth_date,domicile,famous,famous_comment,firstname,info,lastname,linkedin_followers,middlename,nationality,nytimes_nresults,profession,twitter_followers,twitter_verified,wealth,wikipedia_presence
409.0,120000.0,2250000.0,1949-05-19,,,,Ashraf,"Mohammad Ashraf Ghanī Ahmadzai (Pashto/Dari: محمد اشرف غني احمدزی‎, born 19 May 1949) is a Afghan politician who is the current President of Afghanistan, elected on 21 September 2014. An anthropologist by education, he previously served as finance minister and the chancellor of Kabul University.
Before returning to Afghanistan in 2002, Ghani was a professor of anthropology at numerous institutions (mostly Johns Hopkins University), and later started working with the World Bank. As the Finance Minister of Afghanistan between July 2002 and December 2004, he led Afghanistan's attempted economic recovery after the collapse of the Taliban government.He is the co-founder of the Institute for State Effectiveness, an organization set up in 2005 to improve the ability of states to serve their citizens. In 2005 he gave a TED talk, in which he discussed how to rebuild a broken state such as Afghanistan. He is a member of the Commission on Legal Empowerment of the Poor, an independent initiative hosted by the United Nations Development Programme. In 2013 he was ranked 50th in an online poll to name the world's top 100 intellectuals conducted by Foreign Policy magazine and second in a similar poll run by Prospect magazine.Ghani came in fourth in the 2009 presidential election, behind Hamid Karzai, Abdullah Abdullah, and Ramazan Bashardost. In the first round of the 2014 presidential election, Ghani won 32% of the vote, second to Abdullah who secured 45% of the votes cast. Both candidates went on to contest a run-off election, which was held on 14 June 2014 with Ghani winning 56.44% of the votes with a lead of one million votes over Abdullah.",Ghani,,,,10,,450255.0,True,,1.0
7.0,5320.0,3230000.0,1969-03-24,,,,Ilir,"Ilir Meta (Albanian pronunciation: [iliɾ mɛta]; born 24 March 1969) is an Albanian diplomat and politician who is serving as the 8th President of Albania since 24 July 2017. Previously he served as Prime Minister from 1999 to 2002, and at age 29 he is to date the youngest person to have been Prime Minister in Albanian history. Meta also served as Minister of Foreign Affairs from 2002 to 2003 and again from 2009 to 2010. He was Chairman of the Parliament of Albania from 2013 to 2017. Meta also held positions as Deputy Prime Minister and Minister of Economy, Trade, and Energy. Prior to that, he held the Chairmanship of the Parliamentary Commission of European Integration. Meta founded the Socialist Movement for Integration (LSI) in 2004.
On 28 April 2017, he was elected as President of Albania, receiving 87 votes from the 140 Members of Parliament.",Meta,,,,0,,1126.0,False,,1.0
225.0,98500.0,6140000.0,1937-03-02,,,,Abdelaziz,"Abdelaziz Bouteflika, GColIH (pronunciation ; Arabic: عبد العزيز بوتفليقة‎ ‘Abd al-‘Azīz Būtaflīqa [ʕaːbd lʕziz butfliqa]; born 2 March 1937) is an Algerian politician who has been the fifth President of Algeria since 1999. He was Minister of Foreign Affairs from 1963 to 1979. As President, he presided over the end of the bloody Algerian Civil War in 2002, and he ended emergency rule in February 2011 amidst regional unrest. He is former president of the United Nations General Assembly in 1974.
In November 2012, he surpassed Houari Boumédiène as the longest-serving president of Algeria.",Bouteflika,,,,7,,4127.0,False,,1.0
,168.0,13500.0,1949-07-24,,,,Joan,"Joan-Enric Vives i Sicília, GCC (born 24 July 1949) is the current Bishop of Urgell, a Catholic diocese, and ex officio Co-Prince of Andorra.  He holds the rank of archbishop and monarch.",Enric Vives Sicilia,,,,0,,,,,1.0
150.0,2170000.0,237000.0,1954-03-05,,,,Joao,"João Manuel Gonçalves Lourenço (born 5 March 1954) is an Angolan politician who has served as the President of Angola since 26 September 2017. Previously, he was Minister of Defence from 2014 to 2017. In September 2018 he became the Chairman of the People's Movement for the Liberation of Angola (MPLA), the ruling party. He was the party's Secretary-General from 1998 to 2003.
João Lourenço was designated in December 2016 to occupy the party's number 1 position in the August 2017 legislative election. In terms of the 2010 constitution, ""the individual heading the national list of the political party or coalition of political parties which receives the most votes in general elections... shall be elected President of the Republic and Head of the Executive"" (Article 109). As the MPLA won a majority of 150 seats, Lourenço automatically became President of Angola, succeeding José Eduardo dos Santos, in power for 38 years. Lourenço was officially sworn into office on 26 September 2017.",Lourenco,,,,3,,69.0,False,,1.0
24.0,16000.0,155000.0,1967-02-09,,,,Gaston,"Gaston Alfonso Browne (born 9 February 1967) is the Prime Minister of Antigua and Barbuda. He has been the island’s leader since 2014. Before entering politics, he was a banker and businessman.",Browne,,Alfonso ,,10,,1591.0,False,,1.0
897.0,7770000.0,18500000.0,1959-02-08,,,,Mauricio,"Mauricio Macri (Spanish pronunciation: [mauˈɾisjo ˈmakɾi]; born February 8, 1959) is the current President of Argentina and has been in office since 2015. A former civil engineer, Macri won the first presidential runoff ballotage in Argentina's history (the runoff system had been introduced in 1994) and is the first democratically-elected non-Radical or Peronist president since 1916. He was chief of government of Buenos Aires from 2007 to 2015, and represented the city in the lower house of the Congress of Argentina from 2005 to 2007. The reintegration of Argentina into the international community is central to Macri's agenda.
Born in Tandil, Buenos Aires Province, Macri is the son of Francesco Macri, a prominent Italian businessman in the industrial and construction sectors, and was raised in an upper class home. He received a bachelor's degree in civil engineering from the Pontifical Catholic University of Argentina and studied at Columbia Business School in New York City. Macri became president of Boca Juniors, one of Argentina's two most popular football clubs, in 1995. In 2005, he created the centre-right Republican Proposal party (Propuesta Republicana, also known as PRO).Although Macri was a potential presidential candidate in the 2011 general elections, he ran instead for reelection as mayor. He received about 47 percent of the vote in the mayoral election, which led to a runoff election on 31 July 2011 against Daniel Filmus in which Macri was reelected for a second consecutive term. On 22 November 2015, after a tie in the first round of the presidential elections on 25 October, he received 51.34 percent of the vote to defeat Front for Victory candidate Daniel Scioli and was inaugurated on 10 December 2015 in the Argentine Congress. In 2016, Macri was named one of the world's 100 most influential people and the most powerful president in Latin America by the U.S. news magazine Time.",Macri,,"Macri
",,10,,4700133.0,True,,1.0
5.0,8820.0,304000.0,1953-06-23,,,,Armen,"Armen Vardani Sarkissian (Armenian: Արմեն Վարդանի  Սարգսյան; born 23 June 1953) is an Armenian physicist, computer scientist and politician, who currently serves as the incumbent President of Armenia. He served as Prime Minister of Armenia from 4 November 1996 to 20 March 1997 and previously was the country's (longest-serving) ambassador in London since 1998. Sarkissian assumed the presidency on 9 April 2018.He was also one of the co-creators of the Tetris-Wordtris game.",Sarkissian,,Vardani ,,1,,4813.0,False,,1.0
164.0,1700000.0,3940000.0,1968-05-13,,,,Scott,"Scott John Morrison (born 13 May 1968) is an Australian politician serving as the 30th and current Prime Minister of Australia and leader of the Liberal Party since 24 August 2018. He has been a member of the House of Representatives since 2007, representing the Division of Cook in New South Wales.
Morrison was born in Sydney and studied economic geography at the University of New South Wales. He worked as director of the New Zealand Office of Tourism and Sport from 1998 to 2000 and was managing director of Tourism Australia from 2004 to 2006. Morrison was state director of the New South Wales Liberal Party from 2000 to 2004 and was first elected to the House of Representatives at the 2007 federal election. He was appointed to the opposition frontbench after the 2010 election.
Following the Coalition's victory at the 2013 election, Morrison was appointed Minister for Immigration and Border Protection in the Abbott Government. In that capacity he was responsible for implementing Operation Sovereign Borders, one of the Coalition's flagship policies. In a December 2014 cabinet reshuffle, Morrison was instead made Minister for Social Services. He was promoted to Treasurer in September 2015, when Malcolm Turnbull replaced Tony Abbott as prime minister.In August 2018, Peter Dutton challenged Turnbull for the leadership of the Liberal Party, due to dissatisfaction from the party's conservative wing. Turnbull defeated Dutton in a leadership ballot, but tensions continued to mount and the party voted in favour of holding a second ballot; Turnbull chose not to be a candidate. In the second vote, Morrison emerged as a compromise candidate, defeating Dutton and Julie Bishop to become leader of the Liberal Party and prime minister.

",Morrison,,John ,,10,,115184.0,True,,1.0
221.0,58800.0,1280000.0,1944-01-18,,,,Alexander,"Alexander Van der Bellen (German pronunciation: [ˌalɛˈksandɐ fan dɛɐ̯ ˈbɛlən]; born 18 January 1944) is the current President of Austria. He previously served as a professor of economics at the University of Vienna, and after joining politics, as the spokesman of the Austrian Green Party.A member of the noble Russian Van der Bellen family of Dutch ancestry, he was born in Austria to aristocratic Russian and Estonian parents who were refugees from Stalinism, and became a naturalised Austrian citizen together with his parents in 1958. He was as a member to the National Council representing the Green Party from 1994 to 2012, and served as both leader of the party and its parliamentary faction.He ran as a nominally independent candidate supported by the Greens in the 2016 presidential election, and finished second out of six in the first round before winning the second round against Norbert Hofer, a member of the Freedom Party. On 1 July, before he was due to be sworn into office, the results of the second round of voting were annulled by the Constitutional Court due to absentee votes being improperly counted too early, requiring the election to be re-held. On 4 December 2016, he won the ensuing election, taking approximately 54% of the vote.Van der Bellen has described himself as a centrist liberal and supports green and social liberal policies. As discussed in his 2015 book, he is supportive of the European Union and advocates European federalism. During the presidential election, he appealed to the political centre and was endorsed by the leaders of both the Social Democratic Party and the conservative People's Party. Van der Bellen is the second green president of a European Union country (after Raimonds Vējonis of Latvia) and the first to be directly elected by popular vote.",Van der Bellen,,,,10,,133826.0,True,,1.0
